termCode,name
CAT10-20,SOIRÉES - rnb  soul / funk / groove
CAT10-21,SOIRÉES - td
CAT10-22,SOIRÉES - techno
CAT10-23,SOIRÉES - techno / house
CAT10-24,SOIRÉES - divers
CAT10-00,SOIRÉES
CAT11-01,ACTIVITÉS DIVERSES - activités en plein air
CAT11-02,ACTIVITÉS DIVERSES - animations
CAT11-03,ACTIVITÉS DIVERSES - festival multidisciplinaire
CAT11-04,ACTIVITÉS DIVERSES - marché de l'art
CAT11-05,ACTIVITÉS DIVERSES - mode
CAT11-06,ACTIVITÉS DIVERSES - portes ouvertes
CAT11-07,ACTIVITÉS DIVERSES - événements culinaires
CAT11-00,ACTIVITÉS DIVERSES
CAT12-01,SALONS / FOIRES - salon / foire
CAT12-02,SALONS / FOIRES - artisanats
CAT12-00,SALONS / FOIRES
CAT13-01,MARCHÉS ET BROCANTES - bourse
CAT13-02,MARCHÉS ET BROCANTES - braderie
CAT13-03,MARCHÉS ET BROCANTES - brocante
CAT13-04,MARCHÉS ET BROCANTES - marché
CAT13-05,MARCHÉS ET BROCANTES - marché de noël
CAT13-06,MARCHÉS ET BROCANTES - divers
CAT13-00,MARCHÉS ET BROCANTES
CAT14-01,FÊTES / FOLKLORE - bal / thé dansant
CAT14-02,FÊTES / FOLKLORE - culte / commémoration
CAT14-03,FÊTES / FOLKLORE - festivités
CAT14-04,FÊTES / FOLKLORE - folklore  divers
CAT14-00,FÊTES / FOLKLORE
CAT15-01,SPORTS - sport en extérieur
CAT15-02,SPORTS - sport en intérieur
CAT15-03,SPORTS - tournoi / compétition / course
CAT15-00,SPORTS
