termCode,name
AUD01,Amis
AUD02,Conjoint
AUD03,Enfants (0 à 6 ans)
AUD04,Enfants (7 à 11 ans)
AUD05,Enfants (12 ans +)
AUD06,Etudiants
AUD07,Séniors
AUD08,Seul
