termCode,name
LOC01,Région de Bruxelles-Capitale
LOC02,Province de Liège
LOC03,province de Hainaut
LOC04,province de Namur
LOC05,province du Brabant wallon
LOC06,province de Luxembourg
LOC07,Liège
LOC08,Charleroi
LOC09,Nivelles
LOC10,Namur
LOC11,Verviers
LOC12,Mons
LOC13,Soignies
LOC14,Thuin
LOC15,Tournai
LOC16,La Louvière
LOC17,Huy
LOC18,Dinant
LOC19,Ath
LOC20,Waremme
LOC21,Mouscron
LOC22,Philippeville
LOC23,Neufchâteau
LOC24,Arlon
LOC25,Marche-en-Famenne
